ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 01/04/2026;COBERTURA;IMPORTE AFILIADO
50008;rosuvastatina;BILIP 20;20 mg comp.x 28;Richmond;$ 1266.67;60%;$ 506.67
44338;rosuvastatina;BILIP 20;20 mg comp.x 30;Richmond;$ 46344.04;60%;$ 18537.62
61170;rosuvastatina;BILIP 40;40 mg comp.x 30;Richmond;$ 68816.97;60%;$ 27526.79
58264;sacubitrilo+valsartán;HIPERVAL PLUS 50;comp.rec.x 30;Richmond;$ 90399.54;50%;$ 45199.77
58265;sacubitrilo+valsartán;HIPERVAL PLUS 100;comp.rec.x 30;Richmond;$ 96195.89;50%;$ 48097.95
58266;sacubitrilo+valsartán;HIPERVAL PLUS 100;comp.rec.x 60;Richmond;$ 185970.6;50%;$ 92985.3
58267;sacubitrilo+valsartán;HIPERVAL PLUS 200;comp.rec.x 60;Richmond;$ 200185.18;50%;$ 100092.59
58213;telmisartán;TELCARDIA;40 mg comp.x 28;Richmond;$ 61780.07;60%;$ 24712.03
58214;telmisartán;TELCARDIA;80 mg comp.x 28;Richmond;$ 86794.49;60%;$ 34717.8
39869;tióctico,ác.;TIONEUROL 600;600 mg comp.rec.x 30;Richmond;$ 48963.29;50%;$ 24481.65
48288;valsartán;HIPERVAL 160;comp.rec.x 28;Richmond;$ 33344.07;60%;$ 13337.63
48287;valsartán;HIPERVAL 80;comp.rec.x 28;Richmond;$ 26728.53;60%;$ 10691.41
35688;zolpidem;ZOLODORM;10 mg comp.rec.x 30;Richmond;$ 12358.57;50%;$ 6179.29
50265;accesorio;ACCU-CHEK FASTCLIX;lancetas x 102;Roche Diabetes;$ 27175.62;100%;$ 0
29044;accesorio;ACCU-CHEK SOFTCLIX NEW;lancetas x 200;Roche Diabetes;$ 27350.55;100%;$ 0
50264;accesorio;ACCU-CHEK FASTCLIX;lancetas x 24;Roche Diabetes;$ 7660.69;100%;$ 0
29043;accesorio;ACCU-CHEK SOFTCLIX NEW;lancetas x 25;Roche Diabetes;$ 4700.15;100%;$ 0
56144;dispositivo para aplic.insulina;AGUJAS ACCU-FINE;32G x 4mm agujas x 100;Roche Diabetes;$ 28740.6;100%;$ 0
59374;dispositivo para aplic.insulina;AGUJAS ACCU-FINE;32G x 6mm agujas x 100;Roche Diabetes;$ 28740.6;100%;$ 0
40740;tiras reactivas;ACCU-CHEK PERFORMA 25;tiras reactivas x 25;Roche Diabetes;$ 39030.35;100%;$ 0
53861;tiras reactivas;ACCU-CHEK ACTIVE GLUCOSA;tiras reactivas x 25;Roche Diabetes;$ 39030.35;100%;$ 0
53987;tiras reactivas;ACCU-CHEK GUIDE;tiras reactivas x 25;Roche Diabetes;$ 39030.35;100%;$ 0
53986;tiras reactivas;ACCU-CHEK GUIDE;tiras reactivas x 50;Roche Diabetes;$ 70285.86;100%;$ 0
40741;tiras reactivas;ACCU-CHEK PERFORMA 50;tiras reactivas x 50;Roche Diabetes;$ 70285.86;100%;$ 0
53862;tiras reactivas;ACCU-CHEK ACTIVE GLUCOSA;tiras reactivas x 50;Roche Diabetes;$ 70285.86;100%;$ 0
24493;acetilsalicílico,ác.+vit.c+vit.e;CARDIAX;comp.x 30;Roemmers;$ 13027;40%;$ 7816.2
35608;aciclovir;POVIRAL;400 mg comp.x 20;Roemmers;$ 16452.12;60%;$ 6580.85
35609;aciclovir;POVIRAL;400 mg comp.x 40;Roemmers;$ 31467.7;60%;$ 12587.08
32116;aciclovir;POVIRAL;800 mg comp.x 20;Roemmers;$ 26174.58;60%;$ 10469.83
32117;aciclovir;POVIRAL;800 mg comp.x 40;Roemmers;$ 49515.04;60%;$ 19806.02
7638;amiodarona;ATLANSIL;comp.x 20;Roemmers;$ 15995.81;80%;$ 3199.16
7639;amiodarona;ATLANSIL;comp.x 50;Roemmers;$ 41737;80%;$ 8347.4
12541;amlodipina;COROVAL 10;10 mg comp.x 30;Roemmers;$ 24439.55;60%;$ 9775.82
12540;amlodipina;COROVAL 5;5 mg comp.x 30;Roemmers;$ 15063.1;60%;$ 6025.24
52686;amlodipina+losartán,potásico;LOSACOR A;5/100 mg comp.rec.x 30;Roemmers;$ 35869.91;50%;$ 17934.96
58962;amlodipina+losartán,potásico;LOSACOR A;5/100 mg comp.rec.x 60;Roemmers;$ 24168.61;50%;$ 12084.31
52685;amlodipina+losartán,potásico;LOSACOR A;5/50 mg comp.rec.x 30;Roemmers;$ 32327;50%;$ 16163.5
58963;amlodipina+losartán,potásico;LOSACOR A;5/50 mg comp.rec.x 60;Roemmers;$ 23936.45;50%;$ 11968.23
7592;amoxicilina;AMOXIDAL;1 g comp.x 16;Roemmers;$ 19899.89;60%;$ 7959.96
7600;amoxicilina;AMOXIDAL;1 g iny.x 1 dosis;Roemmers;$ 8908.88;60%;$ 3563.55
34487;amoxicilina;AMOXIDAL;500 mg comp.rec.x 21;Roemmers;$ 10648;60%;$ 4259.2
28091;amoxicilina;AMOXIDAL DUO;comp.x 14;Roemmers;$ 14900.95;60%;$ 5960.38
7596;amoxicilina;AMOXIDAL;ped.250 mg susp.x 90 ml;Roemmers;$ 8479.68;60%;$ 3391.87
15969;amoxicilina;AMOXIDAL;ped.500 mg susp.x 120 ml;Roemmers;$ 12300.43;60%;$ 4920.17
7598;amoxicilina;AMOXIDAL;ped.500 mg susp.x 90 ml;Roemmers;$ 9854.42;60%;$ 3941.77
44755;amoxicilina;AMOXIDAL DUO;susp.x 120 ml;Roemmers;$ 15703.64;60%;$ 6281.46
22806;amoxicilina;AMOXIDAL DUO;susp.x 70 ml;Roemmers;$ 11707.64;60%;$ 4683.06
50992;amoxicilina+acetilcisteína;AMOXIDAL DUO MUC;comp.rec.x 14;Roemmers;$ 15946.23;50%;$ 7973.12
28092;amoxicilina+ambroxol;AMOXIDAL RESPIRATORIO DUO;comp.rec.x 14;Roemmers;$ 15762.92;50%;$ 7881.46
32037;amoxicilina+ambroxol;AMOXIDAL RESPIRATORIO;comp.rec.x 16;Roemmers;$ 14252.68;50%;$ 7126.34
7603;amoxicilina+ambroxol;AMOXIDAL RESPIRATORIO;ped.500 mg susp.x 90 ml;Roemmers;$ 13022.08;50%;$ 6511.04
28093;amoxicilina+ambroxol;AMOXIDAL RESPIRATORIO DUO;susp.x 70 ml;Roemmers;$ 14287.35;50%;$ 7143.68
13625;amoxicilina+bromhexina;AMOXIDAL RESPIRATORIO;1 g iny.x 1 dosis;Roemmers;$ 9066.52;50%;$ 4533.26
31676;amoxicilina+clavulánico,ác.;OPTAMOX DUO;1 g comp.x 14;Roemmers;$ 30747.55;60%;$ 12299.02
6285;amoxicilina+clavulánico,ác.;OPTAMOX;500 mg comp.x 16;Roemmers;$ 33142.78;60%;$ 13257.11
6269;amoxicilina+clavulánico,ác.;OPTAMOX;500 mg comp.x 8;Roemmers;$ 17306.75;60%;$ 6922.7
6300;amoxicilina+clavulánico,ác.;OPTAMOX;Ped.250 mg susp.x 60 ml;Roemmers;$ 9356.6;60%;$ 3742.64
13626;amoxicilina+clavulánico,ác.;OPTAMOX;ped.250 mg susp.x 90 ml;Roemmers;$ 12929.59;60%;$ 5171.84
49936;amoxicilina+clavulánico,ác.;OPTAMOX DUO 14:1;susp.ped.x 140 ml;Roemmers;$ 26316.96;60%;$ 10526.78
45526;amoxicilina+clavulánico,ác.;OPTAMOX DUO;susp.x 140 ml;Roemmers;$ 24545.92;60%;$ 9818.37
21045;amoxicilina+clavulánico,ác.;OPTAMOX DUO;susp.x 70 ml;Roemmers;$ 19697;60%;$ 7878.8
46700;amoxicilina+ác.clavulánico+asoc.;OPTAMOX RESPIRATORIO DUO;comp.rec.x 14;Roemmers;$ 34452.57;60%;$ 13781.03
46701;amoxicilina+ác.clavulánico+asoc.;OPTAMOX RESPIRATORIO DUO;susp.x 140 ml;Roemmers;$ 28273.23;60%;$ 11309.29
32886;aripiprazol;IRAZEM;10 mg comp.x 30;Roemmers;$ 29118.3;50%;$ 14559.15
58890;aripiprazol;IRAZEM;10 mg comp.x 60;Roemmers;$ 52412.7;50%;$ 26206.35
32888;aripiprazol;IRAZEM;15 mg comp.x 30;Roemmers;$ 42401.08;50%;$ 21200.54
32889;aripiprazol;IRAZEM;20 mg comp.x 15;Roemmers;$ 27004.6;50%;$ 13502.3
36637;aripiprazol;IRAZEM;5 mg comp.x 30;Roemmers;$ 26538.83;50%;$ 13269.42
58889;aripiprazol;IRAZEM;5 mg comp.x 60;Roemmers;$ 47769;50%;$ 23884.5
50996;aripiprazol;IRAZEM;sol.oral x 150 ml;Roemmers;$ 42521.88;50%;$ 21260.94
18333;azitromicina;TRITAB;500 mg comp.rec.x 3;Roemmers;$ 13970.52;60%;$ 5588.21
23481;azitromicina;TRITAB;500 mg comp.rec.x 5;Roemmers;$ 15580.36;60%;$ 6232.14
33069;azitromicina;TRITAB;500 mg comp.rec.x 6;Roemmers;$ 18800.91;60%;$ 7520.36
25715;azitromicina;TRITAB;susp.oral x 15 ml;Roemmers;$ 9528.32;60%;$ 3811.33
31827;azitromicina;TRITAB;susp.oral x 30 ml;Roemmers;$ 18695.07;60%;$ 7478.03
45059;betametasona;DEPOCORT;0.6 mg comp.x 30;Roemmers;$ 11046;50%;$ 5523
45060;betametasona (acet.y fosf.disod);DEPOCORT RETARD;f.a.x 1 x 2 ml;Roemmers;$ 13588.28;50%;$ 6794.14
45061;betametasona (diprop.y f.disod.);DEPOCORT CRONO;f.a.x 1 x 2 ml;Roemmers;$ 10416.74;50%;$ 5208.37
47038;betametasona+gentamic.+miconazol;DEPOCORT BIOTIC;cr.x 20 g;Roemmers;$ 13283.56;40%;$ 7970.14
25417;bisoprolol;CORBIS;10 mg comp.rec.x 30;Roemmers;$ 22890;60%;$ 9156
58967;bisoprolol;CORBIS;10 mg comp.rec.x 60;Roemmers;$ 41204;60%;$ 16481.6
29741;bisoprolol;CORBIS;2.5 mg comp.rec.x 30;Roemmers;$ 9581;60%;$ 3832.4
58966;bisoprolol;CORBIS;2.5 mg comp.rec.x 60;Roemmers;$ 17250;60%;$ 6900
25416;bisoprolol;CORBIS;5 mg comp.rec.x 30;Roemmers;$ 17925.96;60%;$ 7170.38
58965;bisoprolol;CORBIS;5 mg comp.rec.x 60;Roemmers;$ 32268;60%;$ 12907.2
58964;bisoprolol+hidroclorotiazida;CORBIS D;5/12.5 mg comp.rec.x 60;Roemmers;$ 36715.06;50%;$ 18357.53
32054;bisoprolol+hidroclorotiazida;CORBIS D;5/12.5 mg comp.x 30;Roemmers;$ 20396.84;50%;$ 10198.42
46020;calcitriol;CALCIRAQUIFEROL;cáps.blandas x 30;Roemmers;$ 17475.95;60%;$ 6990.38
44979;carboximetilcisteína;MUCOLITIC;comp.eferv.x 10;Roemmers;$ 12957.99;50%;$ 6479
2952;carboximetilcisteína;MUCOLITIC;jbe.x 150 ml;Roemmers;$ 15127;50%;$ 7563.5
10234;carboximetilcisteína+dextrometor;MUCOLITIC ANTITUSIVO;jbe.x 100 ml;Roemmers;$ 17425.75;60%;$ 6970.3
37230;cefalexina;CEPOREXIN DUO 1 GR;1 g comp.x 14;Roemmers;$ 25004.54;60%;$ 10001.82
619;cefalexina;CEPOREXIN;500 mg comp.x 16;Roemmers;$ 12913.62;60%;$ 5165.45
618;cefalexina;CEPOREXIN;500 mg comp.x 8;Roemmers;$ 7457;60%;$ 2982.8
36746;cefalexina;CEPOREXIN;500 mg susp.x 120 ml;Roemmers;$ 1028.81;60%;$ 411.52
20637;cefalexina;CEPOREXIN;500 mg susp.x 90 ml;Roemmers;$ 12962;60%;$ 5184.8
41278;cefalexina;CEPOREXIN DUO 750;750 mg susp.ped.x 90 ml;Roemmers;$ 14945;60%;$ 5978
20636;cefalexina;CEPOREXIN;ped.250 mg susp.x 90 ml;Roemmers;$ 7934.62;60%;$ 3173.85
51121;cinitaprida;ROGASTRIL;1 mg comp.x 10;Roemmers;$ 9726;50%;$ 4863
28927;cinitaprida;ROGASTRIL;1 mg comp.x 30;Roemmers;$ 23505;50%;$ 11752.5
48652;cinitaprida+simeticona;ROGASTRIL PLUS;comp. x 15;Roemmers;$ 14959;50%;$ 7479.5
48653;cinitaprida+simeticona;ROGASTRIL PLUS;comp. x 30;Roemmers;$ 29298.72;50%;$ 14649.36
50997;cinitaprida+simeticona;ROGASTRIL PLUS MASTICABLE;comp.mast. x 10;Roemmers;$ 11936;50%;$ 5968
50998;cinitaprida+simeticona;ROGASTRIL PLUS MASTICABLE;comp.mast. x 30;Roemmers;$ 34619;50%;$ 17309.5
2695;ciprofloxacina;CIRIAX;500 mg comp.x 10;Roemmers;$ 19888.51;60%;$ 7955.4
52067;ciprofloxacina;CIRIAX;500 mg comp.x 20;Roemmers;$ 36455;60%;$ 14582
24696;citalopram;ZENTIUS;comp.rec.x 30;Roemmers;$ 29775.78;50%;$ 14887.89
22094;clonixinato lisina;DORIXINA;comp.x 20;Roemmers;$ 1489.18;50%;$ 744.59
14955;clonixinato lisina+ciclobenzapri;DORIXINA RELAX;comp.rec.x 20;Roemmers;$ 14093.92;50%;$ 7046.96
51315;clonixinato lisina+ergotamina;MIGRA DORIXINA;comp.x 10;Roemmers;$ 5384.21;50%;$ 2692.11
7726;clonixinato lisina+vit.b,compl.;DORIXINA B1 B6 B12;comp.x 20;Roemmers;$ 7220;40%;$ 4332
7660;clorfeniramina+asoc.;DECIDEX;gts.x 30 ml;Roemmers;$ 9807;40%;$ 5884.2
28602;colindifosfato de citidina;COMPLEGEL NOVO;250 mg comp.x 30;Roemmers;$ 52884;50%;$ 26442
23948;colindifosfato de citidina;COMPLEGEL NOVO;500 mg a.x 9 x 2 ml;Roemmers;$ 40219;50%;$ 20109.5
32834;desloratadina;FRENALER;5 mg comp.rec.x 14;Roemmers;$ 12528;40%;$ 7516.8
32833;desloratadina;FRENALER;5 mg comp.rec.x 7;Roemmers;$ 7116;40%;$ 4269.6
32835;desloratadina;FRENALER;jbe.x 60 ml;Roemmers;$ 12202;40%;$ 7321.2
40470;desloratadina+betametasona;FRENALER CORT;comp.rec.x 10;Roemmers;$ 11488;40%;$ 6892.8
40471;desloratadina+betametasona;FRENALER CORT;jbe.x 60 ml;Roemmers;$ 13663;40%;$ 8197.8
46334;desloratadina+pseudoefedrina;FRENALER D;cáps.lib.prol.x 10;Roemmers;$ 10597;40%;$ 6358.2
48657;desvenlafaxina;IXIUM;100 mg comp.lib.prol.x10;Roemmers;$ 13453;50%;$ 6726.5
48658;desvenlafaxina;IXIUM;100 mg comp.lib.prol.x30;Roemmers;$ 52675.47;50%;$ 26337.74
47353;desvenlafaxina;IXIUM;50 mg comp.lib.prol.x 30;Roemmers;$ 31157.16;50%;$ 15578.58
58888;desvenlafaxina;IXIUM;50 mg comp.lib.prol.x 60;Roemmers;$ 67458;50%;$ 33729
48253;dexlansoprazol;DEXOPRAL 60;cáps. x 15;Roemmers;$ 27430;40%;$ 16458
48254;dexlansoprazol;DEXOPRAL 60;cáps. x 30;Roemmers;$ 53416;40%;$ 32049.6
48252;dexlansoprazol;DEXOPRAL 30;cáps. x 30;Roemmers;$ 37520;40%;$ 22512
32684;diazepam;PLIDAN;10 mg comp.rec.x 50;Roemmers;$ 13744.6;50%;$ 6872.3
32665;diazepam;PLIDAN;2 mg comp.rec.x 20;Roemmers;$ 3655.79;50%;$ 1827.9
32666;diazepam;PLIDAN;2 mg comp.rec.x 50;Roemmers;$ 7396.52;50%;$ 3698.26
33330;diazepam;PLIDAN;5 mg comp.rec.x 50;Roemmers;$ 11115.16;50%;$ 5557.58
28713;diazepam;DIACTAL ENEMA;pomo aplic.x 1 x 2.5 ml;Roemmers;$ 19333.65;50%;$ 9666.83
28714;diazepam;DIACTAL ENEMA;pomo aplic.x 5 x 2.5 ml;Roemmers;$ 72747.09;50%;$ 36373.55
36780;diazepam+trimebutina;PLIDEX T;comp.rec.x 20;Roemmers;$ 7433;40%;$ 4459.8
36781;diazepam+trimebutina;PLIDEX T;comp.rec.x 50;Roemmers;$ 18605;40%;$ 11163
43398;diazepam+trimebutina;PLIDEX T 200;comp.x 30;Roemmers;$ 16842;40%;$ 10105.2
4370;digoxina;LANOXIN (DIGOXINA);0.25 mg comp.x 100;Roemmers;$ 14969.01;80%;$ 2993.8
9109;digoxina;LANOXIN (DIGOXINA);0.25 mg comp.x 25;Roemmers;$ 9056;80%;$ 1811.2
9110;digoxina;LANOXIN (DIGOXINA);0.25 mg comp.x 50;Roemmers;$ 17466;80%;$ 3493.2
4545;diltiazem;ACALIX;120 mg comp.x 50;Roemmers;$ 25544.99;60%;$ 10218
7578;diltiazem;ACALIX AP;120 mg cáps.x 30;Roemmers;$ 23836.06;60%;$ 9534.42
17871;diltiazem;ACALIX CD;180 mg caps.x 30;Roemmers;$ 744.47;60%;$ 297.79
38106;diltiazem;ACALIX CRONOS;180 mg cáps.x 30;Roemmers;$ 27184.2;60%;$ 10873.68
17872;diltiazem;ACALIX CD;240 mg caps.x 30;Roemmers;$ 1567.68;60%;$ 627.07
38107;diltiazem;ACALIX CRONOS;240 mg cáps.x 30;Roemmers;$ 39710.51;60%;$ 15884.2
38108;diltiazem;ACALIX CRONOS;300 mg cáps.x 30;Roemmers;$ 44531.16;60%;$ 17812.46
7577;diltiazem;ACALIX;60 mg comp.x 50;Roemmers;$ 9974.21;60%;$ 3989.68
4532;diltiazem;ACALIX;90 mg comp.x 50;Roemmers;$ 14343.76;60%;$ 5737.5
21232;domperidona+bromazepam+simetic.;FARADIL NOVO;comp.x 50;Roemmers;$ 32500;40%;$ 19500
34959;enalapril;LOTRIAL;10 mg comp.x 30;Roemmers;$ 10440.73;80%;$ 2088.15
7801;enalapril;LOTRIAL;10 mg comp.x 50;Roemmers;$ 17280.85;80%;$ 3456.17
34960;enalapril;LOTRIAL;10 mg comp.x 60;Roemmers;$ 19329.08;80%;$ 3865.82
34955;enalapril;LOTRIAL;2.5 mg comp.x 30;Roemmers;$ 2618.58;80%;$ 523.72
34956;enalapril;LOTRIAL;2.5 mg comp.x 60;Roemmers;$ 5135.12;80%;$ 1027.02
34961;enalapril;LOTRIAL;20 mg comp.x 30;Roemmers;$ 11811.72;80%;$ 2362.34
34962;enalapril;LOTRIAL;20 mg comp.x 60;Roemmers;$ 22960.87;80%;$ 4592.17
34957;enalapril;LOTRIAL;5 mg comp.x 30;Roemmers;$ 5480.52;80%;$ 1096.1
7799;enalapril;LOTRIAL;5 mg comp.x 50;Roemmers;$ 8952.11;80%;$ 1790.42
34958;enalapril;LOTRIAL;5 mg comp.x 60;Roemmers;$ 10491.55;80%;$ 2098.31
9508;enalapril+hidroclorotiazida;LOTRIAL D;comp.x 30;Roemmers;$ 15075.54;80%;$ 3015.11
31954;enalapril+hidroclorotiazida;LOTRIAL D-20;comp.x 30;Roemmers;$ 15280.59;80%;$ 3056.12
45621;eplerenona;OLDREN;25 mg comp.rec.x 30;Roemmers;$ 35765.53;50%;$ 17882.77
45623;eplerenona;OLDREN;50 mg comp.rec.x 30;Roemmers;$ 51748;50%;$ 25874
31952;escitalopram;MERIDIAN;10 mg comp.rec.x 15;Roemmers;$ 18798.02;50%;$ 9399.01
31953;escitalopram;MERIDIAN;10 mg comp.rec.x 30;Roemmers;$ 36500.84;50%;$ 18250.42
58995;escitalopram;MERIDIAN;10 mg comp.rec.x 60;Roemmers;$ 65701.2;50%;$ 32850.6
31950;escitalopram;MERIDIAN 20;20 mg comp.rec.x 15;Roemmers;$ 33392.87;50%;$ 16696.44
31951;escitalopram;MERIDIAN 20;20 mg comp.rec.x 30;Roemmers;$ 64841;50%;$ 32420.5
38813;eszopiclona;INDUCTAL;2 mg comp.rec.x 30;Roemmers;$ 17847.7;50%;$ 8923.85
38814;eszopiclona;INDUCTAL;3 mg comp.rec.x 30;Roemmers;$ 22304.34;50%;$ 11152.17
54048;etoricoxib;DORICOXIB 120;120 mg comp.rec.x 10;Roemmers;$ 20352.55;50%;$ 10176.28
54046;etoricoxib;DORICOXIB 60;60 mg comp.rec.x 10;Roemmers;$ 13132.61;50%;$ 6566.31
54047;etoricoxib;DORICOXIB 60;60 mg comp.rec.x 30;Roemmers;$ 36474.95;50%;$ 18237.48
54049;etoricoxib;DORICOXIB 90;90 mg comp.rec.x 10;Roemmers;$ 19571.58;50%;$ 9785.79
54050;etoricoxib;DORICOXIB 90;90 mg comp.rec.x 30;Roemmers;$ 47473.94;50%;$ 23736.97
33955;ezetimibe;IXACOR;10 mg comp.x 30;Roemmers;$ 19918.92;50%;$ 9959.46
35896;ezetimibe+simvastatin;VASOTENAL EZ;10/10 mg comp.x 30;Roemmers;$ 25997;50%;$ 12998.5
38013;ezetimibe+simvastatin;VASOTENAL EZ;20/10 mg comp.x 30;Roemmers;$ 25947.95;50%;$ 12973.98
57103;famotidina;TAURAL F 20;20 mg comp.x 30;Roemmers;$ 9758;40%;$ 5854.8
57104;famotidina;TAURAL F 20;20 mg comp.x 60;Roemmers;$ 17544;40%;$ 10526.4
57102;famotidina;TAURAL F 40;40 mg comp.x 30;Roemmers;$ 18901;40%;$ 11340.6
7701;flecainida;DIONDEL;comp.x 20;Roemmers;$ 8312.76;60%;$ 3325.1
7702;flecainida;DIONDEL;comp.x 50;Roemmers;$ 45496;60%;$ 18198.4
22200;fluconazol;MICOLIS NOVO;150 mg cáps.x 2;Roemmers;$ 17090;50%;$ 8545
31843;fluconazol;MICOLIS NOVO;150 mg cáps.x 4;Roemmers;$ 31781.68;50%;$ 15890.84
36681;fluticasona;LIDIL CORT;spray nasal x 120 ds.;Roemmers;$ 13767.75;80%;$ 2753.55
36682;fluticasona;LIDIL CORT;spray nasal x 60 ds.;Roemmers;$ 7436.74;80%;$ 1487.35
17753;glimepiride;ENDIAL;2 mg comp.x 30;Roemmers;$ 12288.9;100%;$ 0
17754;glimepiride;ENDIAL;2 mg comp.x 60;Roemmers;$ 24716;100%;$ 0
17756;glimepiride;ENDIAL;4 mg comp.x 30;Roemmers;$ 21992.69;100%;$ 0
56968;glimepiride;ENDIAL;4 mg comp.x 60;Roemmers;$ 41502.66;100%;$ 0
40647;glimepiride+metformina;ENDIAL MET 2;2/1000 mg comp.rec.x 30;Roemmers;$ 14384;50%;$ 7192
58922;glimepiride+metformina;ENDIAL MET 2;2/1000 mg comp.rec.x 60;Roemmers;$ 27158;50%;$ 13579
40649;glimepiride+metformina;ENDIAL MET 4;4/1000 mg comp.rec.x 30;Roemmers;$ 25376;50%;$ 12688
58921;glimepiride+metformina;ENDIAL MET 4;4/1000 mg comp.rec.x 60;Roemmers;$ 46925;50%;$ 23462.5
35748;ibuprofeno;FEBRATIC;400 mg comp.x 20;Roemmers;$ 4514;40%;$ 2708.4
58505;insaponificables;PRONTAL;cáps.x 30;Roemmers;$ 36116;40%;$ 21669.6
45624;isosorbide,dinitrato;MEDOCOR SUBLINGUAL;5 mg comp.subl.x 30;Roemmers;$ 8189.32;60%;$ 3275.73
7804;isosorbide,mononitrato;MEDOCOR;comp.x 20;Roemmers;$ 4941.9;60%;$ 1976.76
7805;isosorbide,mononitrato;MEDOCOR;comp.x 40;Roemmers;$ 9402.26;60%;$ 3760.9
12605;isosorbide,mononitrato;MEDOCOR AP;cáps.x 30;Roemmers;$ 25109.81;60%;$ 10043.92
47041;ketorolac;DORIXINA FORTE NF;10 mg comp.rec.x 10;Roemmers;$ 6862.92;50%;$ 3431.46
47043;ketorolac;DORIXINA FORTE NF;10 mg comp.subl.x 10;Roemmers;$ 11262;50%;$ 5631
47044;ketorolac;DORIXINA FORTE NF;10 mg comp.subl.x 20;Roemmers;$ 21867;50%;$ 10933.5
47042;ketorolac;DORIXINA FORTE NF;20 mg comp.rec.x 10;Roemmers;$ 12461;50%;$ 6230.5
32657;lansoprazol;LANZOPRAL;susp.sob.x 30;Roemmers;$ 33182;40%;$ 19909.2
41546;levofloxacina;LEXOBRON 500;500 mg comp.rec.x 7;Roemmers;$ 14811.29;60%;$ 5924.52
41547;levofloxacina;LEXOBRON 750;750 mg comp.rec.x 5;Roemmers;$ 16932.43;60%;$ 6772.97
13689;levomepromazina;TOGREL;2 mg comp.x 50;Roemmers;$ 9587.77;50%;$ 4793.89
13690;levomepromazina;TOGREL;25 mg comp.x 50;Roemmers;$ 32850.33;50%;$ 16425.17
21179;loratadina+pseudoefedrina;DECIDEX PLUS;cáps.x 10;Roemmers;$ 9784;40%;$ 5870.4
31004;losartán;LOSACOR;100 mg comp.rec.x 30;Roemmers;$ 34658.78;60%;$ 13863.51
15987;losartán;LOSACOR;50 mg comp.rec.x 30;Roemmers;$ 28345.86;60%;$ 11338.34
49974;losartán;LOSACOR;50 mg comp.rec.x 60;Roemmers;$ 53506.97;60%;$ 21402.79
32338;losartán+hidroclorotiazida;LOSACOR D;100/25 mg comp.rec.x 30;Roemmers;$ 36034;50%;$ 18017
16681;losartán+hidroclorotiazida;LOSACOR D;50/12.5 mg comp.rec.x 30;Roemmers;$ 33164.67;50%;$ 16582.34
35254;meloxicam;BRONAX;15 mg comp.x 10;Roemmers;$ 12462;40%;$ 7477.2
35255;meloxicam;BRONAX;15 mg comp.x 20;Roemmers;$ 24380;40%;$ 14628
43053;meloxicam;BRONAX;15 mg comp.x 30;Roemmers;$ 34508;40%;$ 20704.8
50993;meloxicam;BRONAX CB;15 mg cáps.bl.x 10;Roemmers;$ 12435;40%;$ 7461
50994;meloxicam;BRONAX CB;15 mg cáps.bl.x 30;Roemmers;$ 34339;40%;$ 20603.4
46336;meloxicam+betametasona+asoc.;BRONAX CORT;comp.rec.x 10;Roemmers;$ 13739;40%;$ 8243.4
46337;meloxicam+betametasona+asoc.;BRONAX CORT;comp.rec.x 20;Roemmers;$ 26230;40%;$ 15738
41548;meloxicam+pridinol;BRONAX FLEX;comp.x 10;Roemmers;$ 13318;40%;$ 7990.8
41549;meloxicam+pridinol;BRONAX FLEX;comp.x 20;Roemmers;$ 25439;40%;$ 15263.4
35119;memantine;MERITAL;comp.ran.x 30;Roemmers;$ 32269.87;50%;$ 16134.94
51673;memantine;MERITAL;comp.ran.x 60;Roemmers;$ 62660.79;50%;$ 31330.4
54804;memantine;MERITAL 20;comp.rec.x 30;Roemmers;$ 35822.33;50%;$ 17911.17
56909;memantine+donepecilo;MERITAL XR PLUS;14/10 cáps.lib.prol.x 30;Roemmers;$ 61242;50%;$ 30621
56910;memantine+donepecilo;MERITAL XR PLUS;28/10 cáps.lib.prol.x 30;Roemmers;$ 67642;50%;$ 33821
49938;montelukast;PLENAIR 10;10 mg comp.rec.x 30;Roemmers;$ 46428;50%;$ 23214
49939;montelukast;PLENAIR 5;5 mg comp.mast.x 30;Roemmers;$ 44269.64;50%;$ 22134.82
52682;nebivolol;CORPRES 10;10 mg comp.x 30;Roemmers;$ 38375.53;50%;$ 19187.77
58892;nebivolol;CORPRES 10;10 mg comp.x 60;Roemmers;$ 77541;50%;$ 38770.5
52684;nebivolol;CORPRES 2.5;2.5 mg comp.x 30;Roemmers;$ 9843;50%;$ 4921.5
58881;nebivolol;CORPRES 2.5;2.5 mg comp.x 60;Roemmers;$ 19234.9;50%;$ 9617.45
52683;nebivolol;CORPRES 5;5 mg comp.x 30;Roemmers;$ 20123.9;50%;$ 10061.95
58891;nebivolol;CORPRES 5;5 mg comp.x 60;Roemmers;$ 40949.57;50%;$ 20474.79
54945;nebivolol+hidroclorotiazida;CORPRES D;5/12.5 mg comp.rec.x 30;Roemmers;$ 24328.92;50%;$ 12164.46
58882;nebivolol+hidroclorotiazida;CORPRES D;5/12.5 mg comp.rec.x 60;Roemmers;$ 48657.92;50%;$ 24328.96
38322;nitazoxanida;NIXORAN;500 mg comp.rec.x 6;Roemmers;$ 8281.48;50%;$ 4140.74
